muito legal isso,relevante isso,Sugestão: Substituir 'legal' por 'interessante'; Sugestão: Substituir 'muito interessante' por 'relevante'
nois vai para escola,nois vai para escola,
Esse trabalho e muito bom mais precisa melhorar na parte da linguagem.,Esse trabalho é excelente mas pode ser aprimorado na parte da linguagem.,Sugestão: Substituir 'muito bom' por 'excelente'; Sugestão: Substituir 'e' por 'é'; Sugestão: Substituir 'mais' por 'mas'; Sugestão: Substituir 'precisa melhorar' por 'pode ser aprimorado'
nois vai para escola,nós vamos para a escola,Sugestão: Substituir 'nois' por 'nós'; Sugestão: Substituir 'vai para escola' por 'vamos para a escola'
Esse trabalho e muito bom mais precisa melhorar na parte da linguagem.,Esse trabalho é excelente mas pode ser aprimorado na parte da linguagem.,Sugestão: Substituir 'muito bom' por 'excelente'; Sugestão: Substituir 'e' por 'é'; Sugestão: Substituir 'mais' por 'mas'; Sugestão: Substituir 'precisa melhorar' por 'pode ser aprimorado'
nois vai para escola,nós vamos para a escola,Sugestão: Substituir 'nois' por 'nós'; Sugestão: Substituir 'vai para escola' por 'vamos para a escola'
os parceiro ta chapandp,os parceiro está chapandp,Sugestão: Substituir 'ta' por 'está'
os parceiro ta chapando,os parceiro está chapando,Sugestão: Substituir 'ta' por 'está'
tamo junto meu parceiro,estamos juntos meu parceiro,Sugestão: Substituir 'tamo junto' por 'estamos juntos'
nois vai para escola,nós vamos para a escola,Sugestão: Substituir 'nois' por 'nós'; Sugestão: Substituir 'vai para escola' por 'vamos para a escola'
nois vai para escola,nós vamos para a escola,Sugestão: Substituir 'nois' por 'nós'; Sugestão: Substituir 'vai para escola' por 'vamos para a escola'
